"","Pop","Fam","Ind","Plate","Plate.well","HILO.Designation","Population"
"335",23,"H",1,4,"D12",NA,"Tlapala"
"336",18,"G",2,4,"E1",NA,"Nabogame"
"337",24,"F",1,4,"E2",NA,"Jicaltepec"
"338",369,"D",1,4,"E3",NA,"Amatlan"
"339",373,"B",2,4,"E4",NA,"Tenango del Air"
"340",23,"B",2,4,"E5",NA,"Tlapala"
"341",30,"C",2,4,"E6",NA,"San Pedro"
"342",31,"A",2,4,"E7",NA,"Tenango del Air"
"343",373,"B",1,4,"E8",NA,"Tenango del Air"
"344",365,"B",2,4,"E9",NA,"Tlapala"
"345",365,"D",2,4,"E10",NA,"Tlapala"
"346",30,"H",1,4,"E11",NA,"San Pedro"
"347",27,"C",2,4,"E12",NA,"Amatlan"
"348",24,"E",1,4,"F1",NA,"Jicaltepec"
