ID	n	popN	family	zea	symp_allo	RI_ACCESSION	GEOCTY	LOCALITY
HILO131	131	373	B1	maize	sympatric	RIMMA0373	Mexico	Tenango del Aire
HILO132	132	361	H1	maize	sympatric	RIMMA0361	Mexico	Penjamillo
HILO133	133	25	A1	mexicana	sympatric	RIMME0025	Mexico	Cocotilan
HILO134	134	31	A1	mexicana	sympatric	RIMME0031	Mexico	Tenango del Aire
HILO135	135	360	B(H)_1	maize	sympatric	RIMMA0360	Mexico	Nabogame
HILO136	136	23	D1	mexicana	sympatric	RIMME0023	Mexico	Tlapala
HILO137	137	374	H2	maize	sympatric	RIMMA0374	Mexico	Xochimilco
HILO138	138	360	J1	maize	sympatric	RIMMA0360	Mexico	Nabogame
HILO139	139	30	H1	mexicana	sympatric	RIMME0030	Mexico	San Pedro
HILO140	140	18	F1	mexicana	sympatric	RIMME0018	Mexico	Nabogame
HILO141	141	23	H1	mexicana	sympatric	RIMME0023	Mexico	Tlapala
HILO142	142	27	C1	mexicana	sympatric	RIMME0027	Mexico	Amatlan
HILO143	143	33	F	mexicana	allopatric	RIMME0033	Mexico	Puerta Encantada
HILO144	144	362	G	maize	sympatric	RIMMA0362	Mexico	Santa Clara
HILO145	145	22	H	mexicana	allopatric	RIMME0022	Mexico	Amecameca
HILO146	146	20	J	mexicana	allopatric	RIMME0020	Mexico	Malinalco
HILO147	147	29	F	mexicana	sympatric	RIMME0029	Mexico	Ixtlan
HILO148	148	21	B	mexicana	sympatric	RIMME0021	Mexico	El Porvenir
HILO149	149	21	G	mexicana	sympatric	RIMME0021	Mexico	El Porvenir
HILO150	150	20	K	mexicana	allopatric	RIMME0020	Mexico	Malinalco
HILO151	151	22	C	mexicana	allopatric	RIMME0022	Mexico	Amecameca
HILO152	152	33	M	mexicana	allopatric	RIMME0033	Mexico	Puerta Encantada
HILO153	153	22	P	mexicana	allopatric	RIMME0022	Mexico	Amecameca
HILO154	154	371	D	maize	sympatric	RIMMA0371	Mexico	Ixtlan
HILO155	155	21	I	mexicana	sympatric	RIMME0021	Mexico	El Porvenir
HILO156	156	21	Q	mexicana	sympatric	RIMME0021	Mexico	El Porvenir
HILO157	157	20	H	mexicana	allopatric	RIMME0020	Mexico	Malinalco
HILO158	158	22	B	mexicana	allopatric	RIMME0022	Mexico	Amecameca
HILO159	159	33	G	mexicana	allopatric	RIMME0033	Mexico	Puerta Encantada
HILO160	160	22	J	mexicana	allopatric	RIMME0022	Mexico	Amecameca
HILO161	161	21	D	mexicana	sympatric	RIMME0021	Mexico	El Porvenir
HILO162	162	371	I	maize	sympatric	RIMMA0371	Mexico	Ixtlan
HILO163	163	29	K	mexicana	sympatric	RIMME0029	Mexico	Ixtlan
HILO164	164	20	A	mexicana	allopatric	RIMME0020	Mexico	Malinalco
HILO165	165	362	H	maize	sympatric	RIMMA0362	Mexico	Santa Clara
HILO166	166	20	G	mexicana	allopatric	RIMME0020	Mexico	Malinalco
HILO167	167	33	K	mexicana	allopatric	RIMME0033	Mexico	Puerta Encantada
HILO168	168	363	I	maize	sympatric	RIMMA0363	Mexico	El Porvenir
HILO169	169	363	B	maize	sympatric	RIMMA0363	Mexico	El Porvenir
HILO170	170	371	F	maize	sympatric	RIMMA0371	Mexico	Ixtlan
HILO171	171	34	C	mexicana	sympatric	RIMME0034	Mexico	Santa Clara
HILO172	172	34	I	mexicana	sympatric	RIMME0034	Mexico	Santa Clara
HILO173	173	33	H	mexicana	allopatric	RIMME0033	Mexico	Puerta Encantada
HILO174	174	22	M	mexicana	allopatric	RIMME0022	Mexico	Amecameca
HILO175	175	363	G	maize	sympatric	RIMMA0363	Mexico	El Porvenir
HILO176	176	29	R	mexicana	sympatric	RIMME0029	Mexico	Ixtlan
HILO177	177	363	E	maize	sympatric	RIMMA0363	Mexico	El Porvenir
HILO178	178	22	K	mexicana	allopatric	RIMME0022	Mexico	Amecameca
HILO179	179	33	J	mexicana	allopatric	RIMME0033	Mexico	Puerta Encantada
HILO180	180	33	I	mexicana	allopatric	RIMME0033	Mexico	Puerta Encantada
HILO181	181	20	O	mexicana	allopatric	RIMME0020	Mexico	Malinalco
HILO182	182	29	D	mexicana	sympatric	RIMME0029	Mexico	Ixtlan
HILO183	183	21	F	mexicana	sympatric	RIMME0021	Mexico	El Porvenir
HILO184	184	362	D	maize	sympatric	RIMMA0362	Mexico	Santa Clara
HILO185	185	33	A	mexicana	allopatric	RIMME0033	Mexico	Puerta Encantada
HILO186	186	20	I	mexicana	allopatric	RIMME0020	Mexico	Malinalco
HILO187	187	362	C	maize	sympatric	RIMMA0362	Mexico	Santa Clara
HILO188	188	371	B	maize	sympatric	RIMMA0371	Mexico	Ixtlan
HILO189	189	29	C	mexicana	sympatric	RIMME0029	Mexico	Ixtlan
HILO190	190	21	P	mexicana	sympatric	RIMME0021	Mexico	El Porvenir
HILO191	191	20	L	mexicana	allopatric	RIMME0020	Mexico	Malinalco
HILO192	192	33	D	mexicana	allopatric	RIMME0033	Mexico	Puerta Encantada
HILO193	193	362	B	maize	sympatric	RIMMA0362	Mexico	Santa Clara
HILO194	194	21	C	mexicana	sympatric	RIMME0021	Mexico	El Porvenir
HILO195	195	371	E	maize	sympatric	RIMMA0371	Mexico	Ixtlan
HILO196	196	33	B	mexicana	allopatric	RIMME0033	Mexico	Puerta Encantada
HILO197	197	20	C 	mexicana	allopatric	RIMME0020	Mexico	Malinalco
HILO198	198	20	N	mexicana	allopatric	RIMME0020	Mexico	Malinalco
HILO199	199	22	L	mexicana	allopatric	RIMME0022	Mexico	Amecameca
HILO200	200	363	H	maize	sympatric	RIMMA0363	Mexico	El Porvenir
HILO201	201	363	J	maize	sympatric	RIMMA0363	Mexico	El Porvenir
HILO202	202	20	M	mexicana	allopatric	RIMME0020	Mexico	Malinalco
