ID	popN	family	ind	RI_ACCESSION	zea	symp_allo	GEOCTY	LOCALITY	ELEVATION	LAT	LON	reads_q30	est_coverage
HILO101	367	B	xi	RIMMA0367	maize	sympatric	Mexico	Cocotilan	2269	19.2244	-98.8427	10892753	0.765269033250037
HILO102	35	J	xi	RIMME0035	mexicana	sympatric	Mexico	Xochimilco	2237	19.2861	-99.0827	7518579	0.528216850482521
HILO103	27	A	xi	RIMME0027	mexicana	sympatric	Mexico	Amatlan	1658	18.9719	-99.0551	10377373	0.729061074219257
HILO104	28	I	xi	RIMME0028	mexicana	sympatric	Mexico	Puruandiro	1915	20.1076	-101.49	7639295	0.536697738336841
HILO105	35	K	xi	RIMME0035	mexicana	sympatric	Mexico	Xochimilco	2237	19.2861	-99.0827	9181929	0.645075301826864
HILO106	24	E	xi	RIMME0024	mexicana	sympatric	Mexico	Jicaltepec	2587	19.3764	-99.6303	4293694	0.301652948198815
HILO107	25	F	xi	RIMME0025	mexicana	sympatric	Mexico	Cocotilan	2269	19.2244	-98.8427	6125411	0.430340002589717
HILO109	366	H	xi	RIMMA0366	maize	sympatric	Mexico	Jicaltepec	2587	19.3764	-99.6303	11291494	0.793282533564159
HILO110	24	F	xi	RIMME0024	mexicana	sympatric	Mexico	Jicaltepec	2587	19.3764	-99.6303	8222017	0.57763680136283
HILO111	35	I	xi	RIMME0035	mexicana	sympatric	Mexico	Xochimilco	2237	19.2861	-99.0827	11175982	0.785167252095023
HILO113	28	M	xi	RIMME0028	mexicana	sympatric	Mexico	Puruandiro	1915	20.1076	-101.49	11836072	0.831541794523187
HILO114	367	C	xi	RIMMA0367	maize	sympatric	Mexico	Cocotilan	2269	19.2244	-98.8427	9570984	0.672408313392544
HILO116	35	B	xi	RIMME0035	mexicana	sympatric	Mexico	Xochimilco	2237	19.2861	-99.0827	6910783	0.485516216645213
HILO117	365	D	xi	RIMMA0365	maize	sympatric	Mexico	Tlapala	2272	19.2351	-98.8368	8824861	0.619989533044213
HILO118	26	J	xi	RIMME0026	mexicana	sympatric	Mexico	Opopeo	2213	19.4181	-101.613	7431645	0.522109312917264
HILO119	370	H	xi	RIMMA0370	maize	sympatric	Mexico	Puruandiro	1915	20.1076	-101.49	10659939	0.74891271408012
HILO120	23	E	xi	RIMME0023	mexicana	sympatric	Mexico	Tlapala	2272	19.2351	-98.8368	5777281	0.405882171906754
HILO121	368	I	xi	RIMMA0368	maize	sympatric	Mexico	Opopeo	2213	19.4181	-101.613	15351019	1.07848396723335
HILO122	27	H	xi	RIMME0027	mexicana	sympatric	Mexico	Amatlan	1658	18.9719	-99.0551	7342449	0.515842858817941
HILO124	30	C	xi	RIMME0030	mexicana	sympatric	Mexico	San Pedro	2459	19.0886	-98.4935	6034935	0.423983622246535
HILO125	361	C	x	RIMMA0361	maize	sympatric	Mexico	Penjamillo	1705	20.1176	-101.93	13387630	0.940546312544606
HILO127	369	F	xi	RIMMA0369	maize	sympatric	Mexico	Amatlan	1658	18.9719	-99.0551	15156246	1.06480021387796
HILO128	23	B	xi	RIMME0023	mexicana	sympatric	Mexico	Tlapala	2272	19.2351	-98.8368	7118462	0.500106679456252
HILO129	27	N	xi	RIMME0027	mexicana	sympatric	Mexico	Amatlan	1658	18.9719	-99.0551	5209205	0.365972061824156
HILO130	366	E	xi	RIMMA0366	maize	sympatric	Mexico	Jicaltepec	2587	19.3764	-99.6303	9931758	0.697754446753114
HILO131	373	B	xi	RIMMA0373	maize	sympatric	Mexico	Tenango del Aire	2609	19.1197	-99.5896	10120466	0.711012104273352
HILO132	361	H	xi	RIMMA0361	maize	sympatric	Mexico	Penjamillo	1705	20.1176	-101.93	9147518	0.642657761219529
HILO133	25	A	xi	RIMME0025	mexicana	sympatric	Mexico	Cocotilan	2269	19.2244	-98.8427	14451632	1.0152976432611
